routeid_date,cluster,anomaly_label,anomaly_score,cluster_mean_diff,peak_ratio,comment_ko
CJB270012200_2024-01-29,5.0,-1.0,-0.5524620134568208,0.5769894059608491,0.08620689655172414,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012200_2024-01-30,7.0,1.0,-0.5326914059669454,0.48597209280431014,0.09166666666666666,정상 또는 경미한 편차
CJB270012300_2024-01-01,7.0,1.0,-0.5421416030284272,0.5610213750961172,0.08108108108108109,정상 또는 경미한 편차
CJB270012300_2024-01-02,0.0,1.0,-0.470498882180565,0.3937576542985979,0.09821428571428571,정상 또는 경미한 편차
CJB270012300_2024-01-03,3.0,1.0,-0.5436368683297558,0.5088602892143778,0.09821428571428571,정상 또는 경미한 편차
CJB270012300_2024-01-04,5.0,1.0,-0.5393325587671205,0.9150124740009934,0.09401709401709402,정상 또는 경미한 편차
CJB270012300_2024-01-05,2.0,1.0,-0.5210583590906366,0.690752929282428,0.09243697478991597,정상 또는 경미한 편차
CJB270012300_2024-01-06,1.0,1.0,-0.5183037283831156,0.883913092165883,0.11764705882352941,정상 또는 경미한 편차
CJB270012300_2024-01-07,4.0,1.0,-0.5488501126895508,0.9700454580925717,0.09803921568627451,정상 또는 경미한 편차
CJB270012300_2024-01-08,0.0,1.0,-0.49883992995209725,0.49052915533148395,0.09259259259259259,정상 또는 경미한 편차
CJB270012300_2024-01-09,7.0,1.0,-0.5318644428777346,0.41149560851271416,0.09090909090909091,정상 또는 경미한 편차
CJB270012300_2024-01-10,0.0,1.0,-0.49681106935394637,0.439796063093097,0.09615384615384616,정상 또는 경미한 편차
CJB270012300_2024-01-11,2.0,1.0,-0.4970706973342275,0.38350714175455364,0.09,정상 또는 경미한 편차
CJB270012300_2024-01-12,0.0,1.0,-0.46175312899032506,0.39474572621959564,0.09803921568627451,정상 또는 경미한 편차
CJB270012300_2024-01-13,4.0,1.0,-0.5013875117154458,0.7341018032757187,0.1016949152542373,정상 또는 경미한 편차
CJB270012300_2024-01-14,1.0,1.0,-0.5012088308442518,0.8190261724370097,0.1111111111111111,정상 또는 경미한 편차
CJB270012300_2024-01-15,2.0,1.0,-0.4798668911042404,0.37717857693461765,0.0891089108910891,정상 또는 경미한 편차
CJB270012300_2024-01-16,5.0,1.0,-0.5206817748408892,0.5335705031313246,0.10377358490566038,정상 또는 경미한 편차
CJB270012300_2024-01-17,6.0,1.0,-0.5144715680940147,0.41543943658279225,0.09649122807017543,정상 또는 경미한 편차
CJB270012300_2024-01-18,0.0,1.0,-0.48612285572844754,0.4252290086115562,0.09734513274336283,정상 또는 경미한 편차
CJB270012300_2024-01-19,2.0,1.0,-0.5197477813858904,0.5455889317144144,0.0990990990990991,정상 또는 경미한 편차
CJB270012300_2024-01-20,4.0,1.0,-0.5000311058256655,0.7156784579649033,0.12244897959183673,정상 또는 경미한 편차
CJB270012300_2024-01-21,4.0,1.0,-0.5269931235067805,0.8623523879008834,0.12,정상 또는 경미한 편차
